id,EAP,HPL,MWS
id25327,0.048342526,0.6253464,0.3263111
id16344,0.14446723,0.27095863,0.58457416
id12303,0.7289403,0.16051564,0.11054401
id15017,0.7870441,0.13647035,0.07648551
id22308,0.070581555,0.064663135,0.8647553
id06536,0.13645801,0.04427557,0.8192664
id19797,0.30321592,0.46583498,0.2309491
id06332,0.5145177,0.13908957,0.34639272
id22941,0.43829167,0.15612951,0.40557876
id13547,0.7233351,0.048996456,0.22766843
id06928,0.14772758,0.07894171,0.7733307
id12521,0.13583435,0.5974296,0.26673606
id25716,0.50377214,0.029700298,0.46652752
id27116,0.44616207,0.029593224,0.5242447
id19941,0.13497871,0.7140097,0.15101156
id05711,0.0072666695,0.00068438833,0.9920489
id02097,0.20731474,0.24538839,0.5472968
id03563,0.485266,0.3018784,0.2128556
id02295,0.64222103,0.20105876,0.1567202
id08179,0.8401809,0.030063072,0.12975606
id05332,0.2259665,0.26709864,0.5069349
id15697,0.53374606,0.28890672,0.17734724
id17026,0.52533394,0.23308812,0.2415779
id04243,0.96299887,0.017884567,0.019116566
id13175,0.52122515,0.46165133,0.017123424
id05387,0.64389294,0.224726,0.13138112
id19989,0.54942554,0.22190638,0.22866806
id25173,0.43975508,0.32729644,0.23294841
id08925,0.57666254,0.3108213,0.11251618
id03034,0.23335761,0.53222924,0.23441313
id13272,0.07969572,0.8308256,0.08947862
id07956,0.07088923,0.07009893,0.8590118
id02648,0.118098356,0.05848167,0.8234199
id01778,0.25679088,0.09472482,0.6484843
id12846,0.0639496,0.13298148,0.8030689
id19001,0.13741373,0.20279731,0.6597889
id05763,0.27906606,0.35189107,0.36904287
id15590,0.04404698,0.002496781,0.9534562
id04912,0.36402738,0.22206475,0.41390783
id21201,0.6753913,0.14747585,0.17713284
id13215,0.9629028,0.0074338983,0.029663283
id15612,0.23729074,0.66893727,0.09377197
id18501,0.67071146,0.12666775,0.20262085
id07223,0.3307196,0.38238138,0.286899
id06707,0.06442123,0.12100892,0.81456983
id05238,0.005094125,0.98408765,0.010818204
id00935,0.091186315,0.22244287,0.68637085
id00110,0.52763623,0.16101934,0.3113444
id17476,0.15112515,0.27779248,0.5710824
id15170,0.80484617,0.15444206,0.040711816
id13397,0.06493549,0.019061804,0.9160027
id24283,0.8197792,0.12219139,0.05802941
id15234,0.55186063,0.22077647,0.22736289
id16884,0.5643873,0.173936,0.2616766
id07831,0.7854406,0.14848562,0.066073775
id16038,0.58005995,0.285481,0.134459
id03629,0.7100827,0.13870686,0.15121052
id21019,0.98760414,0.0033656075,0.009030291
id21835,0.026892418,0.013087542,0.96002
id04480,0.080924205,0.83525515,0.08382064
id20838,0.46275032,0.45842987,0.07881981
id24195,0.7739819,0.07095915,0.15505897
id05448,0.24439292,0.41524902,0.3403581
id15957,0.46333906,0.38210714,0.15455383
id19956,0.115192495,0.053531647,0.8312759
id15104,0.040955752,0.7824174,0.17662679
id17559,0.8043241,0.1059335,0.089742355
id16839,0.29285738,0.46999252,0.23715004
id14493,0.080051355,0.071892776,0.84805584
id08833,0.20249812,0.18669689,0.61080503
id15723,0.016333481,0.0012090945,0.98245746
id02716,0.58905274,0.0589363,0.352011
id06689,0.24822782,0.6454334,0.1063388
id18837,0.27506968,0.04947188,0.67545843
id04466,0.9927247,0.0022644363,0.0050108116
id00686,0.81213,0.13728112,0.05058903
id09010,0.05301532,0.91729105,0.02969371
id23353,0.99422294,0.0032610241,0.0025160196
id00066,0.61696535,0.2881927,0.094841965
id15724,0.3307085,0.39698598,0.27230552
id23486,0.4507696,0.108965844,0.4402646
id22258,0.058641985,0.02772088,0.91363716
id02292,0.7693188,0.14359426,0.08708683
id16356,0.36935604,0.2508297,0.37981427
id00235,0.95008194,0.02564727,0.024270806
id25522,0.048452426,0.020661563,0.93088603
id04204,0.63282317,0.29593202,0.071244806
id22016,0.6258936,0.0052091363,0.36889723
id06480,0.045341738,0.91241574,0.042242516
id08718,0.5388135,0.033651028,0.4275355
id05251,0.03862858,0.9249157,0.0364558
id03359,0.9162271,0.047183,0.036589887
id16117,0.04331713,0.07294101,0.8837419
id17000,0.06438474,0.82398516,0.111630075
id01730,0.42641976,0.41492757,0.15865259
id00630,0.9247703,0.06299058,0.01223914
id18175,0.33259767,0.09598935,0.5714129
id00907,0.39837644,0.41291463,0.18870892
id18251,0.0028636332,0.9931766,0.003959749
id25861,0.12536833,0.28431234,0.59031934
id00398,0.21669096,0.5862816,0.19702743
id27573,0.92208993,0.03462443,0.043285668
id10022,0.04475112,0.07949738,0.8757515
id15901,0.027997015,0.003488589,0.9685144
id00451,0.12806764,0.13549347,0.73643893
id23129,0.72196585,0.18490738,0.09312674
id26498,0.2823204,0.4503174,0.26736218
id14741,0.25937524,0.6632375,0.07738732
id18453,0.1724119,0.33542553,0.4921626
id08309,0.55583084,0.41527402,0.028895158
id00320,0.9722803,0.016739612,0.010980158
id07688,0.45000008,0.13906224,0.41093767
id01556,0.6004719,0.04602145,0.3535066
id00178,0.3630465,0.30625406,0.3306995
id18902,0.4012546,0.05492096,0.5438245
id27002,0.90344745,0.058516406,0.038036175
id21418,0.76540494,0.20236062,0.032234356
id23018,0.66218734,0.082106836,0.25570577
id07032,0.07275626,0.13067324,0.7965705
id16195,0.10384119,0.55401546,0.34214345
id11202,0.5573541,0.29315892,0.14948694
id09578,0.74431443,0.11687974,0.13880578
id26984,0.8989441,0.06627472,0.03478118
id19856,0.5122246,0.4488218,0.038953595
id12086,0.2945847,0.10578359,0.5996317
id12052,0.4920559,0.14424667,0.3636975
id17728,0.26851583,0.06496185,0.66652226
id24608,0.5837759,0.25756073,0.1586634
id21097,0.10565928,0.27475187,0.6195888
id20179,0.047293026,0.12436131,0.8283456
id15144,0.70797306,0.16410422,0.12792267
id00206,0.5434253,0.04549571,0.41107902
id22285,0.045855604,0.7204762,0.23366827
id06417,0.39823323,0.39494216,0.20682462
id00215,0.12521727,0.8095938,0.065188885
id04201,0.32722214,0.4344756,0.23830234
id21771,0.9962108,0.0033963837,0.00039280503
id12451,0.10944856,0.65860087,0.23195054
id14250,0.3215987,0.49890354,0.17949778
id03433,0.63337046,0.26830947,0.098320104
id03303,0.21629503,0.113836,0.669869
id25901,0.43561748,0.13154471,0.43283787
id06945,0.622796,0.16989201,0.20731199
id05664,0.5302027,0.15173145,0.3180659
id05741,0.95997584,0.011852028,0.028172102
id10652,0.8951215,0.079677254,0.025201224
id16300,0.99014366,0.0013940803,0.008462176
id12319,0.58793265,0.15056504,0.26150227
id07500,0.01907941,0.9736964,0.007224244
id12478,0.6570729,0.12632142,0.21660563
id03076,0.35639387,0.04195305,0.60165304
id00969,0.3499535,0.5215748,0.12847173
id23636,0.18292736,0.66556233,0.15151031
id09791,0.05981675,0.85769737,0.08248588
id05680,0.22421801,0.5025184,0.2732636
id03672,0.06019394,0.6971843,0.24262176
id04286,0.1258078,0.47013217,0.40405998
id23883,0.024595326,0.042199466,0.93320525
id11914,0.108917564,0.03715668,0.85392576
id20974,0.29567555,0.52612346,0.17820106
id26125,0.712431,0.04399398,0.24357496
id15543,0.12547591,0.2548072,0.6197169
id19471,0.6622079,0.26930448,0.068487614
id11503,0.8068933,0.11082389,0.08228286
id09321,0.20700547,0.6059395,0.18705502
id25560,0.17100672,0.30013305,0.5288603
id06726,0.37891406,0.45736104,0.16372488
id05709,0.9639736,0.013553779,0.0224726
id09788,0.10857698,0.2937455,0.5976775
id05289,0.95810753,0.018388733,0.02350363
id11815,0.8807737,0.094110735,0.025115589
id22422,0.50699437,0.4406291,0.05237657
id25954,0.43689188,0.3897548,0.17335327
id13601,0.4518791,0.26305357,0.28506726
id05677,0.35712302,0.41101918,0.23185779
id10498,0.8403161,0.07528926,0.08439458
id02665,0.8827663,0.08735483,0.029878879
id10114,0.14725383,0.68867874,0.1640674
id26314,0.63537264,0.29461014,0.07001715
id21240,0.34048936,0.55175835,0.10775228
id15569,0.8171106,0.13358203,0.049307358
id25928,0.48583204,0.24056064,0.27360734
id22706,0.0435691,0.90086836,0.055562533
id20877,0.02766441,0.8937875,0.078548096
id04318,0.9911494,0.0024676693,0.0063829515
id18299,0.5664863,0.10198476,0.331529
id08126,0.086335644,0.587342,0.3263223
id14293,0.41281354,0.28691098,0.30027544
id12759,0.88915503,0.052023176,0.058821786
id11983,0.6033794,0.13806038,0.25856018
id05580,0.518998,0.18181907,0.2991829
id25846,0.22011392,0.4915389,0.28834715
id01939,0.66606903,0.13326436,0.20066667
id26327,0.44525066,0.2755431,0.2792062
id11068,0.008965008,0.0025712072,0.9884638
id08404,0.8914363,0.025146518,0.08341724
id27189,0.6642683,0.2691677,0.066564
id15119,0.07085548,0.7089302,0.2202143
id26525,0.9644612,0.026405226,0.009133603
id03618,0.2768677,0.5148043,0.208328
id27220,0.7409007,0.110421605,0.14867769
id18777,0.045700364,0.00263755,0.95166206
id20213,0.9770885,0.010944161,0.011967314
id20403,0.9308253,0.014393727,0.05478099
id03777,0.23190928,0.6889611,0.079129584
id10595,0.4905367,0.333612,0.17585136
id13816,0.5397931,0.33899036,0.1212166
id05667,0.19143157,0.30738297,0.5011854
id24629,0.8246614,0.0796308,0.09570788
id20398,0.27860177,0.26813075,0.45326748
id14108,0.016580997,0.00551052,0.97790855
id06196,0.40056548,0.45805508,0.14137949
id02800,0.8428724,0.044546027,0.11258165
id18732,0.03674076,0.20196857,0.7612906
id11915,0.023355972,0.9248449,0.051799156
id09739,0.9328158,0.03862183,0.02856231
id24672,0.7313736,0.077434875,0.19119151
id00414,0.011095948,0.012168234,0.97673583
id16307,0.77529,0.08498785,0.13972212
id14043,0.18971647,0.09462575,0.71565783
id00517,0.08989029,0.017076055,0.8930336
id09744,0.49148172,0.44634342,0.062174868
id19257,0.98254067,0.0114368955,0.0060225376
id15437,0.6630431,0.1912329,0.14572406
id16352,0.15554304,0.24776731,0.5966896
id18849,0.2858063,0.18861149,0.52558225
id19434,0.105437785,0.8934255,0.0011367494
id17928,0.13175163,0.46670252,0.40154582
id16896,0.31964597,0.34904647,0.33130753
id02135,0.27960727,0.43583944,0.2845533
id15075,0.9930651,0.0020189555,0.00491597
id27486,0.32003444,0.6462941,0.033671394
id19422,0.4722151,0.2801996,0.24758528
id09603,0.073495544,0.79055506,0.13594943
id02133,0.14085099,0.8006703,0.058478657
id03441,0.7073004,0.009864614,0.28283492
id02398,0.12377955,0.8023201,0.07390042
id05152,0.097779945,0.6791671,0.22305298
id17838,0.6753418,0.115167335,0.20949088
id25060,0.6203759,0.16118276,0.2184414
id09998,0.13393627,0.23043135,0.63563234
id01828,0.119882315,0.74535537,0.13476232
id25377,0.28813633,0.40636173,0.30550194
id22175,0.096567884,0.8364907,0.06694146
id02974,0.17542523,0.5818131,0.24276169
id26955,0.9400265,0.052233208,0.007740201
id21091,0.24078467,0.17124262,0.5879727
id12802,0.44178158,0.3978767,0.16034174
id07432,0.043021187,0.86833835,0.08864051
id18749,0.16537294,0.73328614,0.10134094
id15030,0.021639612,0.015709525,0.9626509
id17155,0.36149475,0.5201982,0.11830702
id08128,0.08522924,0.77606213,0.1387085
id25706,0.09404839,0.7348049,0.17114665
id15645,0.9393933,0.021329572,0.03927714
id04943,0.33423957,0.2870913,0.37866914
id27566,0.08432891,0.1132692,0.8024019
id11765,0.025562964,0.91496533,0.05947173
id13783,0.30339292,0.18057717,0.5160299
id00492,0.38402453,0.22996867,0.38600683
id27636,0.6257802,0.016839666,0.3573801
id04273,0.07242318,0.8512886,0.07628821
id02537,0.6014995,0.050847918,0.34765267
id24349,0.84682065,0.078659914,0.07451947
id00023,0.015556203,0.95469403,0.02974979
id23025,0.13111904,0.5854035,0.28347743
id08722,0.2956627,0.6069575,0.09737988
id02420,0.6686838,0.26162165,0.06969445
id10811,0.5079454,0.1012254,0.39082927
id04019,0.20637164,0.13048531,0.66314304
id18334,0.8226343,0.12475733,0.052608363
id16781,0.99202627,0.0027327344,0.005240979
id08773,0.12601158,0.72887,0.1451185
id19214,0.9218531,0.0357766,0.042370334
id09589,0.0041057547,0.9951958,0.0006984693
id24246,0.7204758,0.17924127,0.1002829
id23577,0.6134659,0.25676563,0.12976848
id09305,0.5734893,0.389478,0.03703271
id16460,0.7305339,0.13474648,0.13471961
id21115,0.8800462,0.08563517,0.03431871
id25996,0.5884556,0.028992621,0.38255185
id02551,0.07855504,0.027245073,0.8941999
id19352,0.007059174,0.0024084812,0.9905323
id03806,0.48362565,0.2783309,0.23804343
id26544,0.83409536,0.06444189,0.10146269
id18761,0.6020622,0.18278173,0.21515608
id24148,0.2014187,0.5351435,0.26343775
id16095,0.22665405,0.6838426,0.089503326
id18442,0.89978206,0.04355644,0.05666142
id22596,0.079289906,0.14363132,0.77707875
id23002,0.18878332,0.05107574,0.7601409
id04797,0.9209505,0.045376357,0.033673234
id06610,0.83011144,0.033724148,0.13616443
id16173,0.8809812,0.04536398,0.07365476
id18292,0.104209065,0.27779016,0.61800075
id27328,0.61497283,0.24174668,0.14328049
id01695,0.024192205,0.9738419,0.0019659046
id05761,0.3532119,0.27656993,0.37021816
id16354,0.7928243,0.11339996,0.093775645
id12207,0.60760057,0.037137352,0.355262
id05665,0.19751184,0.19184485,0.6106433
id01911,0.6186322,0.059295468,0.3220724
id19153,0.56434184,0.021233171,0.41442496
id10295,0.67340076,0.15865722,0.16794202
id23038,0.3352153,0.10034084,0.5644439
id23783,0.45786017,0.21058221,0.33155766
id27879,0.93182147,0.055414077,0.012764571
id19190,0.24989629,0.7438789,0.0062248316
id05065,0.55672276,0.3635012,0.079776
id21296,0.48951152,0.26519525,0.2452932
id13262,0.0997836,0.1494539,0.7507626
id10333,0.29408404,0.6615686,0.044347405
id16677,0.7751678,0.2070014,0.01783078
id01392,0.5018558,0.29032096,0.20782326
id27874,0.97540116,0.021274395,0.0033244842
id02294,0.60262465,0.009673963,0.38770136
id18298,0.25578895,0.4611214,0.28308973
id06997,0.9398909,0.008388336,0.0517207
id05243,0.14531401,0.08308711,0.7715988
id00860,0.07741545,0.79643726,0.12614723
id26681,0.9194209,0.0034480651,0.07713101
id06020,0.95061004,0.00574076,0.043649208
id27683,0.48521277,0.09267745,0.4221097
id17655,0.17895618,0.51655936,0.30448443
id08817,0.5400955,0.074987836,0.3849166
id11512,0.002339513,0.0043322435,0.9933282
id00478,0.887634,0.04083849,0.0715275
id02116,0.9524833,0.007892817,0.03962387
id06746,0.9309779,0.022278586,0.04674354
id03863,0.41550973,0.3206063,0.26388398
id01802,0.113727815,0.53935945,0.3469128
id11682,0.28668886,0.10355522,0.6097559
id04033,0.59121984,0.36028454,0.048495647
id09286,0.033197984,0.9012554,0.065546595
id12904,0.9913657,0.0041679856,0.0044664303
id07420,0.08174832,0.3023844,0.6158673
id22398,0.0176192,0.9706303,0.01175047
id00424,0.074250646,0.048209023,0.87754035
id20960,0.47529447,0.13113883,0.3935667
id10267,0.0052649756,0.99403316,0.00070188864
id19330,0.6663083,0.20244256,0.13124919
id00994,0.17919572,0.67323726,0.14756697
id10785,0.7814525,0.11128107,0.1072664
id00955,0.63813215,0.30669224,0.055175535
id09757,0.17192017,0.29526964,0.5328102
id10030,0.34954226,0.005739855,0.6447179
id22952,0.048970353,0.044752624,0.906277
id21955,0.056928907,0.056320194,0.88675094
id07674,0.3759376,0.6085971,0.015465312
id13760,0.5039268,0.4609485,0.035124734
id18166,0.8691352,0.012299568,0.11856523
id23498,0.55795944,0.29847184,0.14356872
id05296,0.6032331,0.33155608,0.065210804
id26709,0.48160908,0.05986935,0.45852157
id02853,0.7689348,0.11570585,0.11535936
id06800,0.40093434,0.28539866,0.31366703
id14758,0.6076483,0.18186416,0.21048747
id12356,0.97006714,0.0038201197,0.026112814
id21492,0.23242983,0.62365186,0.14391834
id27540,0.16255866,0.7898396,0.047601726
id07376,0.0647652,0.57324445,0.36199033
id15201,0.07927111,0.44046417,0.48026466
id23388,0.48707703,0.38630274,0.12662023
id13923,0.24159521,0.5512733,0.20713152
id00794,0.35645324,0.15804411,0.48550266
id23910,0.05835962,0.016541384,0.925099
id02556,0.1295076,0.10046036,0.7700321
id22151,0.14092748,0.72083354,0.1382389
id11698,0.6944348,0.13510576,0.17045937
id11627,0.8373673,0.060216792,0.10241597
id06340,0.48983103,0.42459053,0.08557843
id05123,0.77103865,0.031028239,0.19793318
id26620,0.54344827,0.064944275,0.3916074
id04002,0.114101745,0.16133271,0.7245655
id26554,0.13434708,0.17028187,0.695371
id18012,0.043595526,0.08839967,0.86800474
id12964,0.5284174,0.40915942,0.062423106
id18965,0.010350044,0.93942827,0.050221596
id19082,0.77044165,0.06464895,0.16490938
id26742,0.5138916,0.082842425,0.40326595
id15442,0.28788918,0.61958736,0.09252353
id16647,0.24434026,0.064446926,0.69121283
id11544,0.20323712,0.39408028,0.40268263
id20581,0.5424428,0.07901621,0.37854105
id13192,0.7160555,0.079927735,0.20401679
id15814,0.4006453,0.06177533,0.53757936
id26279,0.40765557,0.38464558,0.20769887
id00240,0.6153381,0.20756878,0.17709318
id22836,0.95263535,0.025358247,0.022006292
id15085,0.16613181,0.7281075,0.1057607
id17495,0.7676491,0.16321246,0.06913838
id26762,0.86374885,0.02916376,0.107087426
id13685,0.9542565,0.019288996,0.026454581
id16560,0.4482428,0.4434098,0.10834741
id17184,0.0901538,0.79602057,0.11382561
id21635,0.831219,0.0350014,0.13377959
id26751,0.59454864,0.08957742,0.31587395
id12351,0.35001266,0.3063631,0.34362423
id14872,0.40249985,0.35055378,0.24694638
id18372,0.68614477,0.06782791,0.24602735
id26851,0.6376085,0.13239451,0.22999695
id22659,0.59134144,0.31043813,0.09822047
id04102,0.60244316,0.2323724,0.16518444
id02353,0.08974935,0.68266296,0.22758773
id26721,0.9839443,0.0024722286,0.013583455
id11171,0.9445637,0.004594694,0.050841562
id13562,0.31739548,0.35956496,0.32303956
id26425,0.41235113,0.08377862,0.5038703
id26394,0.6130187,0.084585436,0.30239588
id22187,0.86752844,0.05060579,0.08186579
id00422,0.77418923,0.19060643,0.03520428
id22667,0.0890556,0.86396813,0.04697629
id00911,0.7342792,0.08324005,0.18248072
id17291,0.021419233,0.0139230015,0.9646578
id01915,0.21365064,0.45918277,0.32716662
id01434,0.43634266,0.10833345,0.4553239
id01584,0.9866065,0.003394733,0.009998664
id09266,0.15511464,0.51308674,0.33179858
id17494,0.071383566,0.77111185,0.15750463
id24919,0.73650295,0.06859989,0.1948971
id21043,0.6561214,0.030841565,0.3130371
id17796,0.11003922,0.6896816,0.20027918
id02166,0.7525969,0.110152915,0.13725019
id17503,0.117320456,0.17207052,0.7106091
id21203,0.5564001,0.3252455,0.118354335
id25626,0.85159755,0.021846412,0.12655605
id09836,0.6280372,0.25208095,0.11988182
id24202,0.09859205,0.7340657,0.16734225
id27260,0.5698768,0.072528616,0.35759455
id23167,0.13656963,0.133997,0.7294334
id10393,0.0151709765,0.97870797,0.00612105
id01171,0.8260966,0.16464089,0.009262515
id06380,0.23204331,0.37810528,0.38985142
id22686,0.81504154,0.06733407,0.11762437
id26250,0.60660464,0.2439788,0.14941655
id09315,0.26598194,0.51307625,0.22094178
id00886,0.0522217,0.9214569,0.026321445
id03101,0.9397238,0.025238248,0.035037942
id12367,0.9301615,0.010464531,0.059374012
id10770,0.9097384,0.056564976,0.03369655
id14949,0.10071396,0.70783234,0.19145367
id14141,0.6493804,0.18586364,0.16475594
id25417,0.32872948,0.3470994,0.32417107
id26873,0.116072014,0.7132639,0.17066409
id10818,0.4787515,0.02983896,0.4914095
id15146,0.6479711,0.098383866,0.25364503
id23328,0.75003606,0.13851853,0.11144539
id16765,0.44510633,0.27592543,0.2789683
id24383,0.39598262,0.10492033,0.49909708
id21304,0.6615544,0.110827655,0.2276179
id12551,0.1760362,0.38375428,0.44020942
id23274,0.113736,0.078540415,0.8077235
id08117,0.99709785,0.00052087946,0.00238131
id23961,0.65768075,0.2607833,0.08153595
id13865,0.0970996,0.8234632,0.07943721
id22807,0.19274855,0.06563702,0.7416144
id08951,0.05149181,0.0045651756,0.94394296
id18684,0.63945836,0.29025984,0.07028178
id25179,0.5153091,0.103645734,0.38104516
id27033,0.5934998,0.223007,0.18349327
id13977,0.48203284,0.46104544,0.056921687
id19337,0.08629862,0.13017648,0.7835248
id25764,0.6685535,0.19075713,0.14068942
id16106,0.1565699,0.30061346,0.5428166
id05468,0.61019284,0.07794698,0.3118602
id05241,0.55504334,0.21409638,0.23086032
id10215,0.75304633,0.14836414,0.09858954
id23457,0.08889718,0.22437465,0.6867282
id02200,0.79003674,0.13459043,0.075372815
id13714,0.46442002,0.3317216,0.20385835
id20332,0.04177902,0.08764768,0.87057334
id18573,0.17124647,0.23273998,0.5960136
id08569,0.6942366,0.060711157,0.24505226
id22767,0.5258056,0.12015984,0.35403457
id25390,0.20732577,0.57858324,0.21409093
id09288,0.74388975,0.08320514,0.17290516
id12381,0.97431755,0.004684243,0.020998197
id02895,0.009722056,0.006877815,0.98340017
id25270,0.60034627,0.004952113,0.39470166
id14248,0.4257054,0.0055682063,0.5687264
id12831,0.9374194,0.024950555,0.037630018
id18305,0.6714427,0.036059547,0.29249775
id07805,0.64506793,0.2585676,0.096364416
id14027,0.2914358,0.30696285,0.40160137
id02760,0.6367479,0.22570588,0.13754618
id24362,0.45563304,0.3727305,0.17163649
id17065,0.47451934,0.385714,0.13976671
id26583,0.2798697,0.25703877,0.46309155
id19664,0.5643912,0.1957302,0.23987865
id25145,0.5526551,0.17612122,0.2712237
id17858,0.11962972,0.7395309,0.1408393
id05148,0.089227125,0.8500567,0.060716204
id22928,0.74070174,0.20512477,0.05417353
id21549,0.1266692,0.16862828,0.7047025
id12649,0.08197907,0.89027,0.02775098
id21597,0.59948593,0.29134002,0.109174035
id27945,0.8274072,0.107308276,0.065284595
id00243,0.9927492,0.0045246915,0.0027261083
id02745,0.9805282,0.014979512,0.0044922726
id23550,0.17517284,0.5501573,0.27466983
id13023,0.41831112,0.4139,0.16778882
id24796,0.7135605,0.030927667,0.25551185
id12284,0.18860218,0.79058826,0.020809628
id02664,0.056613885,0.8876961,0.055689957
id23767,0.60995466,0.06104695,0.32899842
id05859,0.4096767,0.47273922,0.11758407
id14350,0.32021078,0.46833733,0.21145189
id01191,0.054801013,0.79756796,0.14763106
id17034,0.056243215,0.14583504,0.7979218
id25292,0.65521055,0.19048351,0.15430595
